time,surface_downwelling_photosynthetic_photon_flux_in_air
2023-11-04 10:15:00+00:00,2.97
2023-11-04 10:30:00+00:00,2.98
2023-11-04 10:45:00+00:00,2.98
2023-11-04 11:00:00+00:00,2.98
2023-11-04 11:15:00+00:00,2.97
2023-11-04 11:30:00+00:00,2.98
2023-11-04 11:45:00+00:00,2.97
2023-11-04 12:00:00+00:00,2.96
2023-11-04 12:15:00+00:00,2.96
2023-11-04 12:30:00+00:00,2.97
2023-11-04 12:45:00+00:00,2.97
2023-11-04 13:00:00+00:00,2.97
2023-11-04 13:15:00+00:00,2.97
2023-11-04 13:30:00+00:00,2.97
2023-11-04 13:45:00+00:00,2.98
2023-11-04 14:00:00+00:00,2.98
2023-11-04 14:15:00+00:00,2.99
2023-11-04 14:30:00+00:00,2.98
2023-11-04 14:45:00+00:00,2.99
2023-11-04 15:00:00+00:00,3.47
2023-11-04 15:15:00+00:00,14.72
2023-11-04 15:30:00+00:00,56.71
2023-11-04 15:45:00+00:00,56.78
2023-11-04 16:00:00+00:00,139.78
2023-11-04 16:15:00+00:00,59.04
2023-11-04 16:30:00+00:00,127.88
2023-11-04 16:45:00+00:00,84.96
2023-11-04 17:00:00+00:00,104.69
2023-11-04 17:15:00+00:00,131.41
2023-11-04 17:30:00+00:00,225.46
2023-11-04 17:45:00+00:00,268.17
2023-11-04 18:00:00+00:00,214.92
2023-11-04 18:15:00+00:00,255.07
2023-11-04 18:30:00+00:00,573.95
2023-11-04 18:45:00+00:00,682.21
2023-11-04 19:00:00+00:00,473.06
2023-11-04 19:15:00+00:00,752.91
2023-11-04 19:30:00+00:00,877.78
2023-11-04 19:45:00+00:00,345.1
2023-11-04 20:00:00+00:00,317.54
2023-11-04 20:15:00+00:00,193.83
2023-11-04 20:30:00+00:00,153.21
2023-11-04 20:45:00+00:00,69.59
2023-11-04 21:00:00+00:00,104.18
2023-11-04 21:15:00+00:00,225.99
2023-11-04 21:30:00+00:00,254.24
2023-11-04 21:45:00+00:00,282.44
2023-11-04 22:00:00+00:00,193.39
2023-11-04 22:15:00+00:00,144.19
2023-11-04 22:30:00+00:00,63.05
2023-11-04 22:45:00+00:00,20.48
2023-11-04 23:00:00+00:00,89.15
2023-11-04 23:15:00+00:00,77.36
2023-11-04 23:30:00+00:00,79.01
2023-11-04 23:45:00+00:00,32.97
2023-11-05 00:00:00+00:00,24.13
2023-11-05 00:15:00+00:00,15.41
2023-11-05 00:30:00+00:00,26.25
2023-11-05 00:45:00+00:00,15.44
2023-11-05 01:00:00+00:00,4.87
2023-11-05 01:15:00+00:00,2.99
2023-11-05 01:30:00+00:00,2.96
2023-11-05 01:45:00+00:00,2.96
2023-11-05 02:00:00+00:00,2.96
2023-11-05 02:15:00+00:00,2.96
2023-11-05 02:30:00+00:00,2.96
2023-11-05 02:45:00+00:00,2.96
2023-11-05 03:00:00+00:00,2.96
2023-11-05 03:15:00+00:00,2.96
2023-11-05 03:30:00+00:00,2.96
2023-11-05 03:45:00+00:00,2.96
2023-11-05 04:00:00+00:00,2.96
2023-11-05 04:15:00+00:00,2.96
2023-11-05 04:30:00+00:00,2.97
2023-11-05 04:45:00+00:00,2.96
2023-11-05 05:00:00+00:00,2.96
2023-11-05 05:15:00+00:00,2.96
2023-11-05 05:30:00+00:00,2.96
2023-11-05 05:45:00+00:00,2.96
2023-11-05 06:00:00+00:00,2.96
2023-11-05 06:15:00+00:00,2.96
2023-11-05 06:30:00+00:00,2.96
2023-11-05 06:45:00+00:00,2.96
2023-11-05 07:00:00+00:00,2.96
2023-11-05 07:15:00+00:00,2.96
2023-11-05 07:30:00+00:00,2.96
2023-11-05 07:45:00+00:00,2.96
2023-11-05 08:00:00+00:00,2.96
2023-11-05 08:15:00+00:00,2.96
2023-11-05 08:30:00+00:00,2.95
2023-11-05 08:45:00+00:00,2.95
2023-11-05 09:00:00+00:00,2.95
2023-11-05 09:15:00+00:00,2.95
2023-11-05 09:30:00+00:00,2.95
2023-11-05 09:45:00+00:00,2.95
2023-11-05 10:00:00+00:00,2.95
2023-11-05 10:15:00+00:00,2.95
2023-11-05 10:30:00+00:00,2.96
2023-11-05 10:45:00+00:00,2.96
2023-11-05 11:00:00+00:00,2.96
2023-11-05 11:15:00+00:00,2.96
2023-11-05 11:30:00+00:00,2.95
2023-11-05 11:45:00+00:00,2.95
2023-11-05 12:00:00+00:00,2.96
2023-11-05 12:15:00+00:00,2.95
2023-11-05 12:30:00+00:00,2.95
2023-11-05 12:45:00+00:00,2.95
2023-11-05 13:00:00+00:00,2.96
2023-11-05 13:15:00+00:00,2.95
2023-11-05 13:30:00+00:00,2.95
2023-11-05 13:45:00+00:00,2.95
2023-11-05 14:00:00+00:00,2.95
2023-11-05 14:15:00+00:00,2.95
2023-11-05 14:30:00+00:00,2.95
2023-11-05 14:45:00+00:00,2.96
2023-11-05 15:00:00+00:00,9.66
2023-11-05 15:15:00+00:00,28.46
2023-11-05 15:30:00+00:00,66.33
2023-11-05 15:45:00+00:00,185.75
2023-11-05 16:00:00+00:00,210.62
2023-11-05 16:15:00+00:00,139.74
2023-11-05 16:30:00+00:00,296.29
2023-11-05 16:45:00+00:00,368.8
2023-11-05 17:00:00+00:00,210.37
2023-11-05 17:15:00+00:00,462.92
2023-11-05 17:30:00+00:00,492.68
2023-11-05 17:45:00+00:00,537.5
2023-11-05 18:00:00+00:00,550.45
2023-11-05 18:15:00+00:00,311.21
2023-11-05 18:30:00+00:00,324.9
2023-11-05 18:45:00+00:00,551.69
2023-11-05 19:00:00+00:00,735.48
2023-11-05 19:15:00+00:00,398.17
2023-11-05 19:30:00+00:00,598.2
2023-11-05 19:45:00+00:00,325.49
2023-11-05 20:00:00+00:00,243.84
2023-11-05 20:15:00+00:00,427.15
2023-11-05 20:30:00+00:00,265.08
2023-11-05 20:45:00+00:00,327.07
2023-11-05 21:00:00+00:00,248.98
2023-11-05 21:15:00+00:00,363.94
2023-11-05 21:30:00+00:00,333.42
2023-11-05 21:45:00+00:00,121.96
2023-11-05 22:00:00+00:00,216.83
2023-11-05 22:15:00+00:00,196.38
2023-11-05 22:30:00+00:00,214.61
2023-11-05 22:45:00+00:00,175.25
2023-11-05 23:00:00+00:00,176.82
2023-11-05 23:15:00+00:00,165.36
2023-11-05 23:30:00+00:00,121.93
2023-11-05 23:45:00+00:00,77.76
2023-11-06 00:00:00+00:00,55.51
2023-11-06 00:15:00+00:00,35.41
2023-11-06 00:30:00+00:00,16.76
2023-11-06 00:45:00+00:00,6.83
2023-11-06 01:00:00+00:00,3.0
2023-11-06 01:15:00+00:00,2.98
2023-11-06 01:30:00+00:00,2.98
2023-11-06 01:45:00+00:00,2.98
2023-11-06 02:00:00+00:00,2.97
2023-11-06 02:15:00+00:00,2.96
2023-11-06 02:30:00+00:00,2.97
2023-11-06 02:45:00+00:00,2.96
2023-11-06 03:00:00+00:00,2.96
2023-11-06 03:15:00+00:00,2.96
2023-11-06 03:30:00+00:00,2.96
2023-11-06 03:45:00+00:00,2.96
2023-11-06 04:00:00+00:00,2.96
2023-11-06 04:15:00+00:00,2.96
2023-11-06 04:30:00+00:00,2.96
2023-11-06 04:45:00+00:00,2.96
2023-11-06 05:00:00+00:00,2.96
2023-11-06 05:15:00+00:00,2.97
2023-11-06 05:30:00+00:00,2.96
2023-11-06 05:45:00+00:00,2.96
2023-11-06 06:00:00+00:00,2.96
2023-11-06 06:15:00+00:00,2.96
2023-11-06 06:30:00+00:00,2.96
2023-11-06 06:45:00+00:00,2.96
2023-11-06 07:00:00+00:00,2.95
2023-11-06 07:15:00+00:00,2.95
2023-11-06 07:30:00+00:00,2.95
2023-11-06 07:45:00+00:00,2.95
2023-11-06 08:00:00+00:00,2.96
2023-11-06 08:15:00+00:00,2.96
2023-11-06 08:30:00+00:00,2.96
2023-11-06 08:45:00+00:00,2.97
2023-11-06 09:00:00+00:00,2.97
2023-11-06 09:15:00+00:00,2.96
2023-11-06 09:30:00+00:00,2.96
2023-11-06 09:45:00+00:00,2.96
2023-11-06 10:00:00+00:00,2.96
2023-11-06 10:15:00+00:00,2.96
2023-11-06 10:30:00+00:00,2.96
2023-11-06 10:45:00+00:00,2.96
2023-11-06 11:00:00+00:00,2.96
2023-11-06 11:15:00+00:00,2.96
2023-11-06 11:30:00+00:00,2.95
2023-11-06 11:45:00+00:00,2.96
2023-11-06 12:00:00+00:00,2.96
2023-11-06 12:15:00+00:00,2.96
2023-11-06 12:30:00+00:00,2.96
2023-11-06 12:45:00+00:00,2.96
2023-11-06 13:00:00+00:00,2.96
2023-11-06 13:15:00+00:00,2.96
2023-11-06 13:30:00+00:00,2.96
2023-11-06 13:45:00+00:00,2.96
2023-11-06 14:00:00+00:00,2.96
2023-11-06 14:15:00+00:00,2.95
2023-11-06 14:30:00+00:00,2.95
2023-11-06 14:45:00+00:00,2.96
2023-11-06 15:00:00+00:00,7.23
2023-11-06 15:15:00+00:00,15.73
2023-11-06 15:30:00+00:00,50.82
2023-11-06 15:45:00+00:00,69.6
2023-11-06 16:00:00+00:00,52.2
2023-11-06 16:15:00+00:00,251.34
2023-11-06 16:30:00+00:00,443.18
2023-11-06 16:45:00+00:00,292.68
2023-11-06 17:00:00+00:00,291.03
2023-11-06 17:15:00+00:00,501.21
2023-11-06 17:30:00+00:00,455.11
2023-11-06 17:45:00+00:00,570.7
2023-11-06 18:00:00+00:00,730.91
2023-11-06 18:15:00+00:00,104.45
2023-11-06 18:30:00+00:00,120.84
2023-11-06 18:45:00+00:00,79.78
2023-11-06 19:00:00+00:00,68.85
2023-11-06 19:15:00+00:00,70.99
2023-11-06 19:30:00+00:00,104.18
2023-11-06 19:45:00+00:00,125.44
2023-11-06 20:00:00+00:00,107.63
2023-11-06 20:15:00+00:00,420.74
2023-11-06 20:30:00+00:00,361.87
2023-11-06 20:45:00+00:00,347.68
2023-11-06 21:00:00+00:00,719.26
2023-11-06 21:15:00+00:00,420.18
2023-11-06 21:30:00+00:00,474.6
2023-11-06 21:45:00+00:00,293.48
